smiles,IE
FC(F)(F)COCCOCC(F)(F)F,6.259262141
FC(F)(F)C(F)(F)COCCOCC(F)(F)C(F)(F)F,6.27707685
CCOCCOCCOCC,5.587656446
FC(F)(F)COCCOCCOCC(F)(F)F,6.003230516
FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,6.018283004
CCOCCOCCOCCOCC,5.939027572
FC(F)(F)COCCOCCOCCOCC(F)(F)F,5.75709184
FC(F)(F)C(F)(F)COCCOCCOCCOCC(F)(F)C(F)(F)F,5.759758005
CCOCCOCCOCCOCCOCC,5.916364076
FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,5.722913328
FC(F)(F)C(F)(F)COCCOCCOCCOCCOCC(F)(F)C(F)(F)F,5.722098893
CCOCCOCCOCCOCCOCCOCC,5.901245192
FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,5.693131621
FC(F)(F)C(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)C(F)(F)F,5.693666868
COCCOCC(F)(F)C(F)(F)F,5.910965349
COCCOCC(F)(F)C(F)(F)C(F)(F)F,5.911987951
COCCOCC(F)(F)C(F)F,5.789899445
FCCOCCOCCOCCF,5.748375508
CCC[Si](OC)(OC)OC,5.856313309
CCCCCC[Si](OC)(OC)OC,5.776197727
COCCOCCO[Si](C)(C)C,5.487719046
FCCOB(OCCF)OCCF,6.73572944
COCCOCC(COCCOC)(COCCOC)COCCOC,5.292310443
COCCOCC(C)C,5.508126724
COCCOC(C)(C)C,6.45610342
CCCCOCCOC,5.384557105
COCCOC(C)C,5.452009353
CCOCCOC(C)C,5.311447895
COCCOCCOCCOCCOC,5.387066534
CCOC1OCC(C(F)(F)F)O1,6.290177198
FC(F)(F)C1COCO1,6.511783777
FCCOCCF,6.382090522
FCCOCC(F)F,6.512542973
FCCOCC(F)(F)F,6.780730713
COCC(C)OC,5.434983227
COCC(OC)C(F)(F)F,5.89553544
CS(=O)(=O)OCC(F)(F)F,7.426602386
CCOS(C)(=O)=O,6.99909615
CO[Si](C)(CCC(F)(F)F)OC,5.993766145
CC1CCC(C)O1,5.654256162